Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
107,Soft Go By Majority,2.5830941704035872,0.8364215246636771,15.0,1.0,81,0.7516681614349775,0.08475336322869961,0.04151569506726459,0.12206278026905831,1.0,0.8866131156572008,0.7500884446838771,0
108,Hard Tit For 2 Tats,2.5808520179372194,0.8434215246636771,0.0,1.0,99,0.7775022421524664,0.06591928251121075,0.023533632286995503,0.13304484304932734,1.0,0.7060768322573467,0.40100314075834465,0.31357279001395993
109,Tit For 2 Tats,2.5758520179372195,0.8722690582959641,0.0,1.0,190,0.7937533632286997,0.07851569506726457,0.0175067264573991,0.11022421524663673,1.0,0.7681683485038661,1.0,0
110,"N Tit(s) For M Tat(s): 3, 2",2.5698206278026907,0.8078116591928252,23.0,1.0,114,0.7511659192825112,0.056645739910313866,0.031834080717488784,0.16035426008968606,1.0,0.7411340191486075,0.2752269497944584,0.15991857623568753
111,Meta Majority Memory One: 37 players,2.5693721973094172,0.7460627802690583,69.0,1.0,221,0.700085201793722,0.0459775784753363,0.05359192825112109,0.20034529147982058,0.9955437799098346,0.05456255338782325,0.8764559226377429,0.014336504034904591
112,Hard Tit For Tat,2.564080717488789,0.6462556053811659,71.0,1.0,100,0.6318923766816145,0.014363228699551537,0.07877130044843048,0.27497309417040344,1.0,0,0.2515911731437057,0
113,Inverse,2.55567264573991,0.6891255605381166,69.0,1.0,103,0.6590986547085202,0.030026905829596412,0.06669058295964124,0.2441838565022421,0.9563339544419694,0,0.5850973328622543,0
114,Thumper,2.5549551569506725,0.7023991031390134,54.0,1.0,189,0.6691748878923767,0.03322421524663674,0.06221973094170404,0.23538116591928251,1.0,0,0.5806581507519385,0
115,Tricky Level Punisher,2.5490358744394617,0.8115695067264574,27.0,1.0,194,0.7153004484304933,0.09626905829596409,0.05531390134529146,0.13311659192825107,1.0,0.8939580707511954,0.04374275926839463,0.013113107825431361
116,Two Tits For Tat,2.542578475336323,0.6670582959641256,70.0,1.0,195,0.6430627802690584,0.02399551569506724,0.07008520179372198,0.2628565022421524,1.0,0,0.375130755068286,0
